Symbol,ROE,DebtToEquity,EPS,BookValuePerShare,CurrentRatio,NetProfitMargin,Segment,DilutedEPS,RevenueCr,NetProfitCr,OperatingMargin,ROA,TotalDebtCr,EquityCr,TotalAssetsCr,CashCr,SharesOutstandingCr,EffectiveTaxRate
20MICRONS,13.69,0.2995,18.94,137.97,1.92,6.99,MICRONIZED MINERALS,18.94,953.83,66.67,,8.82,145.82,486.86,756.22,73.58,3.5287,
21STCENMGM,-72.75,0.0,-22.9,31.48,2.93,142.48,CAPITAL MARKET SEGMENT,-22.9,-16.88,-24.05,,-60.79,,33.06,39.56,3.55,1.05,
360ONE,12.37,0.0,30.16,242.2,,27.88,,29.19,4361.62,1216.17,,4.47,,9835.55,27201.35,569.24,40.61,
3IINFOLTD,9.29,0.1264,1.83,18.22,1.13,5.06,,1.82,693.36,35.11,,5.3,47.77,377.78,662.17,19.86,20.74,
3MINDIA,29.54,0.096,463.66,1568.9,2.18,10.26,,463.66,5089.76,522.32,,16.65,169.75,1768.15,3137.25,812.14,1.127,
3PLAND,2.08,0.0,1.21,58.14,,46.68,,1.21,4.67,2.18,,1.94,,104.66,112.32,0.2,1.8,
5PAISA,6.81,0.0058,14.14,207.72,,13.83,Equity,14.13,319.56,44.19,,2.32,,649.22,1907.13,37.27,3.1255,
63MOONS,-1.48,0.0007,-4.87,792.02,11.28,-25.47,,-4.87,211.59,-53.89,,-1.39,2.57,3649.52,3886.59,66.62,4.6079,
A2ZINFRA,,,-0.09,,,-0.48,,-0.09,294.19,-1.42,,,,,,,17.612,
AAATECH,6.66,0.0,1.61,24.14,18.86,10.12,CYBER SECURITY,1.61,20.38,2.06,,6.32,,30.96,32.65,3.87,1.2827,
AADHARHFC,14.53,0.024,25.31,173.08,,29.84,Housing Finance Business,24.77,3672.58,1095.88,,4.0,,7540.89,27398.84,714.63,43.57,
AAKASH,5.48,0.3473,0.35,6.31,0.84,3.11,Service Provider of Oil & Gas Extraction,0.35,112.46,3.5,,3.3,22.19,63.88,106.11,0.11,10.125,
AAREYDRUGS,2.64,0.3321,1.39,52.86,1.81,0.84,DRUGS AND PHARMACEUTICALS,1.39,472.27,3.97,,1.33,49.96,150.42,297.25,1.4,2.8454,
AARNAV,4.75,0.5535,2.21,46.54,1.65,2.02,TEXTILES,2.21,462.4,9.35,,2.35,108.8,196.58,398.08,4.19,4.2239,
AARON,13.98,0.5708,3.27,0.0,1.37,7.39,,3.27,92.0,6.8,,7.46,27.75,48.61,91.18,0.01,209464.78,
AARTECH,11.32,0.1598,1.25,11.04,2.85,9.71,Manufacturer of Electrical Items| Control & Relay Panels| Bus Transfer Systems| Ultracapacitors| Waste to Compost Machine etc.,1.25,40.88,3.97,,7.84,5.6,35.06,50.63,3.45,3.177,
