Symbol,Category
RELIANCE,LargeCap
HDFCBANK,LargeCap
TCS,LargeCap
BHARTIARTL,LargeCap
ICICIBANK,LargeCap
INFY,LargeCap
SBIN,LargeCap
HINDUNILVR,LargeCap
BAJFINANCE,LargeCap
ITC,LargeCap
LICI,LargeCap
LT,LargeCap
HCLTECH,LargeCap
SUNPHARMA,LargeCap
KOTAKBANK,LargeCap
MARUTI,LargeCap
M&M,LargeCap
AXISBANK,LargeCap
ULTRACEMCO,LargeCap
NTPC,LargeCap
ONGC,LargeCap
BAJAJFINSV,LargeCap
TITAN,LargeCap
WIPRO,LargeCap
HAL,LargeCap
ADANIENT,LargeCap
POWERGRID,LargeCap
ADANIPORTS,LargeCap
DMART,LargeCap
TATAMOTORS,LargeCap
JSWSTEEL,LargeCap
COALINDIA,LargeCap
BAJAJ-AUTO,LargeCap
BEL,LargeCap
ETERNAL,LargeCap
NESTLEIND,LargeCap
ASIANPAINT,LargeCap
ADANIPOWER,LargeCap
TRENT,LargeCap
INDIGO,LargeCap
IOC,LargeCap
HINDZINC,LargeCap
DLF,LargeCap
TATASTEEL,LargeCap
VBL,LargeCap
IRFC,LargeCap
GRASIM,LargeCap
VEDL,LargeCap
JIOFIN,LargeCap
DIVISLAB,LargeCap
SBILIFE,LargeCap
TECHM,LargeCap
LTIM,LargeCap
ADANIGREEN,LargeCap
PIDILITIND,LargeCap
HDFCLIFE,LargeCap
HYUNDAI,LargeCap
EICHERMOT,LargeCap
HINDALCO,LargeCap
BAJAJHLDNG,LargeCap
PFC,LargeCap
AMBUJACEM,LargeCap
LODHA,LargeCap
BPCL,LargeCap
BRITANNIA,LargeCap
CHOLAFIN,LargeCap
ABB,LargeCap
TVSMOTOR,LargeCap
TATAPOWER,LargeCap
CIPLA,LargeCap
GODREJCP,LargeCap
BANKBARODA,LargeCap
GAIL,LargeCap
SHRIRAMFIN,LargeCap
PNB,LargeCap
RECLTD,LargeCap
INDHOTEL,LargeCap
SIEMENS,LargeCap
SOLARINDS,LargeCap
TORNTPHARM,LargeCap
MAZDOCK,LargeCap
MAXHEALTH,LargeCap
UNITDSPR,LargeCap
SHREECEM,LargeCap
TATACONSUM,LargeCap
DRREDDY,LargeCap
MANKIND,LargeCap
BAJAJHFL,LargeCap
ENRIN,LargeCap
ADANIENSOL,LargeCap
MOTHERSON,LargeCap
CGPOWER,LargeCap
APOLLOHOSP,LargeCap
HAVELLS,LargeCap
INDUSTOWER,LargeCap
UNIONBANK,LargeCap
NAUKRI,LargeCap
LUPIN,LargeCap
ZYDUSLIFE,LargeCap
JINDALSTEL,LargeCap
HDFCAMC,MidCap
ICICIGI,MidCap
MUTHOOTFIN,MidCap
DIXON,MidCap
NTPCGREEN,MidCap
JSWENERGY,MidCap
CANBK,MidCap
IDBI,MidCap
PERSISTENT,MidCap
DABUR,MidCap
ICICIPRULI,MidCap
BOSCHLTD,MidCap
MARICO,MidCap
POLYCAB,MidCap
SWIGGY,MidCap
SRF,MidCap
GMRAIRPORT,MidCap
BSE,MidCap
CUMMINSIND,MidCap
NHPC,MidCap
SBICARD,MidCap
IOB,MidCap
HEROMOTOCO,MidCap
RVNL,MidCap
SUZLON,MidCap
HINDPETRO,MidCap
POLICYBZR,MidCap
BHEL,MidCap
OFSS,MidCap
BHARTIHEXA,MidCap
INDIANB,MidCap
WAAREEENER,MidCap
TORNTPOWER,MidCap
GICRE,MidCap
ATGL,MidCap
COLPAL,MidCap
LLOYDSME,MidCap
AUROPHARMA,MidCap
OIL,MidCap
INDUSINDBK,MidCap
GODREJPROP,MidCap
PATANJALI,MidCap
ASHOKLEY,MidCap
IDEA,MidCap
OBEROIRLTY,MidCap
POWERINDIA,MidCap
COROMANDEL,MidCap
BERGEPAINT,MidCap
JSWINFRA,MidCap
IRCTC,MidCap
ALKEM,MidCap
PRESTIGE,MidCap
NMDC,MidCap
YESBANK,MidCap
PHOENIXLTD,MidCap
TIINDIA,MidCap
BHARATFORG,MidCap
UNOMINDA,MidCap
SCHAEFFLER,MidCap
LINDEINDIA,MidCap
COFORGE,MidCap
PIIND,MidCap
KALYANKJIL,MidCap
UBL,MidCap
FACT,MidCap
SUNDARMFIN,MidCap
PAYTM,MidCap
BDL,MidCap
MRF,MidCap
NYKAA,MidCap
VMM,MidCap
JSL,MidCap
FORTIS,MidCap
UPL,MidCap
ABCAPITAL,MidCap
BALKRISIND,MidCap
PAGEIND,MidCap
BANKINDIA,MidCap
LTTS,MidCap
MPHASIS,MidCap
SUPREMEIND,MidCap
SAIL,MidCap
FEDERALBNK,MidCap
IREDA,MidCap
AUBANK,MidCap
IDFCFIRSTB,MidCap
HEXT,MidCap
PETRONET,MidCap
GLAXO,MidCap
PREMIERENE,MidCap
TATACOMM,MidCap
PGHH,MidCap
GVT&D,MidCap
VOLTAS,MidCap
JUBLFOOD,MidCap
APLAPOLLO,MidCap
CONCOR,MidCap
MOTILALOFS,MidCap
HUDCO,MidCap
UCOBANK,MidCap
MFSL,MidCap
COCHINSHIP,MidCap
BIOCON,MidCap
GLENMARK,MidCap
FLUOROCHEM,MidCap
THERMAX,MidCap
NAM-INDIA,MidCap
360ONE,MidCap
LTF,MidCap
ITCHOTELS,MidCap
JKCEMENT,MidCap
MAHABANK,MidCap
BLUESTARCO,MidCap
ASTRAL,MidCap
CENTRALBK,MidCap
SJVN,MidCap
